Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000169288	MRPL1	-32.947	1.230
ENSG00000164930	FZD6	-115.435	1.225
ENSG00000145335	SNCA	-21.086	1.223
ENSG00000227008	RP3-417G15.1	-4.046	1.223
ENSG00000181218	HIST3H2A	-30.171	1.214
ENSG00000184205	TSPYL2	-46.625	1.202
ENSG00000163220	S100A9	-83.145	1.200
ENSG00000198888	MT-ND1	-46.421	1.196
ENSG00000250479	CHCHD10	-21.596	1.190
ENSG00000069849	ATP1B3	-67.509	1.186
ENSG00000169991	IFFO2	-80.213	1.186
ENSG00000163584	RPL22L1	-69.065	1.183
ENSG00000148400	NOTCH1	-29.003	1.163
ENSG00000115380	EFEMP1	-61.806	1.162
ENSG00000196562	SULF2	-51.707	1.162
ENSG00000198744	MTCO3P12	-5.465	1.162
ENSG00000132646	PCNA	-89.727	1.161
ENSG00000184009	ACTG1	-95.387	1.158
ENSG00000198938	MT-CO3	-83.806	1.155
ENSG00000080819	CPOX	-34.021	1.142
ENSG00000233966	UBE2SP1	-2.497	1.112
ENSG00000196743	GM2A	-94.165	1.107
ENSG00000133678	TMEM254	-27.313	1.104
ENSG00000114023	FAM162A	-61.963	1.100
ENSG00000080546	SESN1	-48.928	1.088
ENSG00000014824	SLC30A9	-64.530	1.083
ENSG00000186832	KRT16	-46.283	1.081
ENSG00000165030	NFIL3	-53.757	1.079
ENSG00000117318	ID3	-68.349	1.076
ENSG00000086570	FAT2	-26.248	1.073
ENSG00000122643	NT5C3A	-22.921	1.072
ENSG00000237973	MTCO1P12	-6.244	1.071
ENSG00000101474	APMAP	-82.053	1.065
ENSG00000198786	MT-ND5	-42.048	1.062
ENSG00000164070	HSPA4L	-66.366	1.052
ENSG00000143819	EPHX1	-44.555	1.050
ENSG00000188486	H2AFX	-27.078	1.035
ENSG00000205981	DNAJC19	-21.339	1.029
ENSG00000213347	MXD3	-11.191	1.027
ENSG00000134108	ARL8B	-48.222	1.026
ENSG00000092201	SUPT16H	-86.609	1.021
ENSG00000187193	MT1X	-73.085	1.017
ENSG00000137804	NUSAP1	-37.916	1.016
ENSG00000153574	RPIA	-19.326	1.010
ENSG00000169474	SPRR1A	-2.428	1.001
ENSG00000122644	ARL4A	-27.305	0.998
ENSG00000283390	RP11-134F2.7	-4.084	0.995
ENSG00000198736	MSRB1	-30.747	0.991
ENSG00000151632	AKR1C2	-53.395	0.980
ENSG00000131669	NINJ1	-44.441	0.976
ENSG00000135521	LTV1	-37.769	0.970
ENSG00000157456	CCNB2	-26.648	0.968
ENSG00000117394	SLC2A1	-15.800	0.965
ENSG00000157184	CPT2	-43.757	0.965
ENSG00000064995	TAF11	-19.271	0.956
ENSG00000164904	ALDH7A1	-77.082	0.956
ENSG00000215114	UBXN2B	-35.286	0.951
ENSG00000104267	CA2	-19.766	0.946
ENSG00000168393	DTYMK	-24.718	0.936
ENSG00000170465	KRT6C	-6.633	0.934
ENSG00000058799	YIPF1	-19.848	0.929
ENSG00000140416	TPM1	-38.686	0.925
ENSG00000143633	C1orf131	-23.914	0.924
ENSG00000144867	SRPRB	-60.359	0.916
ENSG00000166828	SCNN1G	-19.238	0.914
ENSG00000118515	SGK1	-36.556	0.910
ENSG00000138095	LRPPRC	-63.025	0.907
ENSG00000112096	SOD2	-59.457	0.903
ENSG00000096696	DSP	-38.137	0.897
ENSG00000138029	HADHB	-49.466	0.893
ENSG00000057149	SERPINB3	-12.839	0.888
ENSG00000175063	UBE2C	-25.981	0.885
ENSG00000139372	TDG	-31.981	0.884
ENSG00000059691	GATB	-23.839	0.883
ENSG00000139112	GABARAPL1	-29.137	0.874
ENSG00000139116	KIF21A	-33.264	0.874
ENSG00000166171	DPCD	-16.642	0.874
ENSG00000134057	CCNB1	-38.295	0.872
ENSG00000164104	HMGB2	-31.274	0.872
ENSG00000198729	PPP1R14C	-32.387	0.871
ENSG00000108587	GOSR1	-25.187	0.871
ENSG00000082641	NFE2L1	-48.894	0.871
ENSG00000173085	COQ2	-17.527	0.871
ENSG00000133639	BTG1	-56.410	0.865
ENSG00000127080	IPPK	-22.356	0.864
ENSG00000258643	BCL2L2-PABPN1	-1.880	0.855
ENSG00000198695	MT-ND6	-11.111	0.849
ENSG00000206418	RAB12	-19.034	0.848
ENSG00000134762	DSC3	-27.301	0.847
ENSG00000277443	MARCKS	-23.669	0.843
ENSG00000215717	TMEM167B	-18.322	0.841
ENSG00000178980	SEPW1	-42.376	0.839
ENSG00000162729	IGSF8	-52.491	0.834
ENSG00000115112	TFCP2L1	-31.396	0.831
ENSG00000253719	ATXN7L3B	-43.814	0.827
ENSG00000134755	DSC2	-32.333	0.823
ENSG00000239789	MRPS17	-9.087	0.822
ENSG00000234664	HMGN2P5	-8.207	0.820
ENSG00000120053	GOT1	-31.535	0.812
ENSG00000197261	C6orf141	-10.020	0.811
ENSG00000159388	BTG2	-55.014	0.810
ENSG00000070731	ST6GALNAC2	-19.422	0.808
ENSG00000117399	CDC20	-19.968	0.804
ENSG00000133393	FOPNL	-19.663	0.801
ENSG00000198712	MT-CO2	-38.922	0.796
ENSG00000100412	ACO2	-58.098	0.793
ENSG00000121552	CSTA	-39.065	0.793
ENSG00000130348	QRSL1	-20.199	0.793
ENSG00000221869	CEBPD	-19.305	0.791
ENSG00000169469	SPRR1B	-20.164	0.784
ENSG00000146701	MDH2	-53.406	0.784
ENSG00000106546	AHR	-10.513	0.783
ENSG00000165672	PRDX3	-28.388	0.782
ENSG00000038210	PI4K2B	-9.539	0.781
ENSG00000078668	VDAC3	-44.948	0.780
ENSG00000120708	TGFBI	-36.557	0.779
ENSG00000104904	OAZ1	-51.875	0.776
ENSG00000121022	COPS5	-44.088	0.775
ENSG00000112984	KIF20A	-19.873	0.773
ENSG00000198830	HMGN2	-39.167	0.773
ENSG00000130707	ASS1	-31.587	0.771
ENSG00000132467	UTP3	-23.348	0.766
ENSG00000183955	KMT5A	-16.229	0.759
ENSG00000169242	EFNA1	-21.583	0.757
ENSG00000089685	BIRC5	-14.125	0.755
ENSG00000088682	COQ9	-35.583	0.749
ENSG00000143799	PARP1	-46.177	0.749
ENSG00000066135	KDM4A	-28.276	0.749
ENSG00000080824	HSP90AA1	-55.255	0.748
ENSG00000197989	SNHG12	-16.675	0.746
ENSG00000161981	SNRNP25	-12.837	0.744
ENSG00000165678	GHITM	-41.767	0.741
ENSG00000091483	FH	-40.680	0.740
ENSG00000257084	U47924.27	-5.146	0.732
ENSG00000116266	STXBP3	-19.139	0.732
ENSG00000070367	EXOC5	-18.798	0.728
ENSG00000182809	CRIP2	-13.017	0.727
ENSG00000163362	C1orf106	-24.019	0.727
ENSG00000136521	NDUFB5	-36.991	0.725
ENSG00000107833	NPM3	-27.844	0.725
ENSG00000112245	PTP4A1	-46.549	0.723
ENSG00000125246	CLYBL	-12.231	0.716
ENSG00000118418	HMGN3	-18.684	0.714
ENSG00000128699	ORMDL1	-16.041	0.713
ENSG00000104228	TRIM35	-41.751	0.713
ENSG00000279088	RP11-574K11.24	-6.492	0.712
ENSG00000151414	NEK7	-19.372	0.705
ENSG00000164758	MED30	-11.308	0.705
ENSG00000136003	ISCU	-29.059	0.705
ENSG00000006125	AP2B1	-38.096	0.705
ENSG00000184007	PTP4A2	-39.722	0.704
ENSG00000069275	NUCKS1	-43.348	0.703
ENSG00000180185	FAHD1	-18.177	0.701
ENSG00000096060	FKBP5	-46.497	0.701
ENSG00000141424	SLC39A6	-38.750	0.700
ENSG00000146409	SLC18B1	-13.675	0.700
ENSG00000146278	PNRC1	-20.503	0.698
ENSG00000187134	AKR1C1	-13.351	0.698
ENSG00000125630	POLR1B	-38.126	0.696
ENSG00000111707	SUDS3	-22.238	0.696
ENSG00000117640	MTFR1L	-22.255	0.695
ENSG00000108384	RAD51C	-9.416	0.695
ENSG00000242477	CTD-2161E19.1	-4.304	0.693
ENSG00000130779	CLIP1	-38.582	0.691
ENSG00000100749	VRK1	-11.634	0.691
ENSG00000027001	MIPEP	-28.803	0.691
ENSG00000179918	SEPHS2	-23.447	0.689
ENSG00000168216	LMBRD1	-8.646	0.689
ENSG00000113583	C5orf15	-28.328	0.687
ENSG00000148459	PDSS1	-7.655	0.686
ENSG00000168610	STAT3	-27.749	0.686
ENSG00000088325	TPX2	-20.032	0.684
ENSG00000063241	ISOC2	-27.572	0.684
ENSG00000166851	PLK1	-14.358	0.684
ENSG00000177051	FBXO46	-8.699	0.684
ENSG00000123213	NLN	-27.546	0.683
ENSG00000167815	PRDX2	-34.303	0.682
ENSG00000144597	EAF1	-14.659	0.680
ENSG00000172292	CERS6	-25.625	0.679
ENSG00000102390	PBDC1	-19.151	0.678
ENSG00000020129	NCDN	-19.264	0.677
ENSG00000260260	SNHG19	-4.795	0.677
ENSG00000029363	BCLAF1	-28.161	0.676
ENSG00000112312	GMNN	-19.022	0.673
ENSG00000151914	DST	-21.670	0.673
ENSG00000105607	GCDH	-11.654	0.672
ENSG00000086666	ZFAND6	-14.415	0.671
ENSG00000136114	THSD1	-26.218	0.669
ENSG00000123064	DDX54	-36.485	0.668
ENSG00000266412	NCOA4	-36.061	0.666
ENSG00000128944	KNSTRN	-17.291	0.663
ENSG00000226221	RPL26P19	-11.958	0.662
ENSG00000145632	PLK2	-14.889	0.662
ENSG00000175279	APITD1	-2.041	0.661
ENSG00000141582	CBX4	-15.073	0.660
ENSG00000242485	MRPL20	-23.344	0.658
ENSG00000167272	POP5	-7.294	0.657
ENSG00000166477	LEO1	-16.917	0.657
ENSG00000105486	LIG1	-17.744	0.655
ENSG00000130414	NDUFA10	-36.050	0.654
ENSG00000171503	ETFDH	-12.163	0.654
ENSG00000106771	TMEM245	-16.454	0.654
ENSG00000228253	MT-ATP8	-13.349	0.653
ENSG00000079616	KIF22	-17.319	0.652
ENSG00000174442	ZWILCH	-9.858	0.648
ENSG00000254373	RP11-34P1.2	-2.391	0.647
ENSG00000198804	MT-CO1	-21.878	0.647
ENSG00000083720	OXCT1	-12.088	0.644
ENSG00000143590	EFNA3	-5.617	0.644
ENSG00000123975	CKS2	-21.235	0.643
ENSG00000103067	ESRP2	-20.222	0.642
ENSG00000259032	ENSAP2	-4.980	0.642
ENSG00000113384	GOLPH3	-16.853	0.640
ENSG00000028116	VRK2	-8.752	0.640
ENSG00000034693	PEX3	-8.770	0.640
ENSG00000108654	DDX5	-30.613	0.639
ENSG00000125827	TMX4	-25.874	0.638
ENSG00000137267	TUBB2A	-7.307	0.638
ENSG00000179091	CYC1	-34.186	0.635
ENSG00000198901	PRC1	-14.622	0.631
ENSG00000213300	HNRNPA3P6	-3.089	0.630
ENSG00000069812	HES2	-25.118	0.629
ENSG00000116874	WARS2	-11.023	0.629
ENSG00000162385	MAGOH	-10.781	0.627
ENSG00000244045	TMEM199	-8.793	0.625
ENSG00000084754	HADHA	-36.522	0.625
ENSG00000182827	ACBD3	-28.002	0.623
ENSG00000168385	SEPT2	-35.388	0.623
ENSG00000137975	CLCA2	-28.099	0.619
ENSG00000117143	UAP1	-29.149	0.618
ENSG00000178429	RPS3AP5	-1.983	0.618
ENSG00000135127	BICDL1	-17.003	0.618
ENSG00000080608	PUM3	-22.224	0.618
ENSG00000183283	DAZAP2	-32.627	0.617
ENSG00000154518	ATP5G3	-30.517	0.617
ENSG00000182580	EPHB3	-9.079	0.617
ENSG00000047936	ROS1	-13.835	0.616
ENSG00000072210	ALDH3A2	-26.119	0.615
ENSG00000198840	MT-ND3	-20.641	0.608
ENSG00000083223	ZCCHC6	-15.850	0.608
ENSG00000113810	SMC4	-18.075	0.607
ENSG00000164548	TRA2A	-21.113	0.605
ENSG00000168389	MFSD2A	-18.913	0.602
ENSG00000113369	ARRDC3	-7.419	0.601
ENSG00000181029	TRAPPC5	-2.117	0.601
ENSG00000131174	COX7B	-16.477	0.601
ENSG00000102580	DNAJC3	-24.383	0.601
ENSG00000148672	GLUD1	-32.871	0.601
ENSG00000135821	GLUL	-21.431	0.600
ENSG00000135148	TRAFD1	-21.186	0.598
ENSG00000120699	EXOSC8	-14.550	0.597
ENSG00000172115	CYCS	-28.141	0.597
ENSG00000164611	PTTG1	-22.355	0.596
ENSG00000159335	PTMS	-15.979	0.595
ENSG00000170315	UBB	-26.049	0.594
ENSG00000124731	TREM1	-10.634	0.593
ENSG00000161970	RPL26	-17.027	0.592
ENSG00000106052	TAX1BP1	-19.490	0.590
ENSG00000131652	THOC6	-9.789	0.589
ENSG00000119787	ATL2	-20.942	0.588
ENSG00000224411	HSP90AA2P	-3.876	0.587
ENSG00000164346	NSA2	-25.164	0.587
ENSG00000171135	JAGN1	-26.400	0.585
ENSG00000117500	TMED5	-19.872	0.583
ENSG00000156467	UQCRB	-20.019	0.583
ENSG00000123131	PRDX4	-26.485	0.582
ENSG00000008018	PSMB1	-28.496	0.581
ENSG00000188229	TUBB4B	-22.395	0.579
ENSG00000070785	EIF2B3	-15.230	0.579
ENSG00000224032	EPB41L4A-AS1	-15.999	0.578
ENSG00000119900	OGFRL1	-26.288	0.577
ENSG00000008838	MED24	-24.239	0.576
ENSG00000069956	MAPK6	-18.099	0.575
ENSG00000168936	TMEM129	-11.031	0.574
ENSG00000116459	ATP5F1	-21.473	0.573
ENSG00000170540	ARL6IP1	-23.500	0.572
ENSG00000108106	UBE2S	-13.469	0.572
ENSG00000159228	CBR1	-16.464	0.571
ENSG00000179085	DPM3	-4.780	0.571
ENSG00000130935	NOL11	-18.782	0.571
ENSG00000075336	TIMM21	-10.484	0.571
ENSG00000168765	GSTM4	-4.753	0.570
ENSG00000243989	ACY1	-4.347	0.570
ENSG00000143217	NECTIN4	-9.258	0.570
ENSG00000182481	KPNA2	-20.426	0.569
ENSG00000214223	HNRNPA1P10	-2.066	0.569
ENSG00000232346	SC22CB-1E7.1	-2.139	0.567
ENSG00000135940	COX5B	-14.486	0.567
ENSG00000117748	RPA2	-13.982	0.567
ENSG00000165832	TRUB1	-9.457	0.566
ENSG00000169976	SF3B5	-20.262	0.566
ENSG00000131051	RBM39	-24.391	0.566
ENSG00000117335	CD46	-20.175	0.565
ENSG00000233223	AC113189.5	-2.918	0.564
ENSG00000141385	AFG3L2	-24.822	0.564
ENSG00000183048	SLC25A10	-3.803	0.564
ENSG00000266967	AARSD1	-2.824	0.564
ENSG00000184990	SIVA1	-15.080	0.562
ENSG00000116688	MFN2	-25.046	0.562
ENSG00000234009	RPL5P34	-5.492	0.562
ENSG00000161513	FDXR	-12.024	0.562
ENSG00000120800	UTP20	-17.113	0.561
ENSG00000117242	PINK1-AS	-2.756	0.561
ENSG00000110013	SIAE	-16.028	0.560
ENSG00000142784	WDTC1	-14.818	0.559
ENSG00000132406	TMEM128	-5.655	0.555
ENSG00000124466	LYPD3	-8.880	0.555
ENSG00000117153	KLHL12	-18.340	0.555
ENSG00000131013	PPIL4	-8.514	0.554
ENSG00000270170	NCBP2-AS2	-6.628	0.553
ENSG00000180198	RCC1	-25.970	0.552
ENSG00000184983	NDUFA6	-17.996	0.552
ENSG00000107262	BAG1	-21.709	0.551
ENSG00000151806	GUF1	-9.123	0.550
ENSG00000164405	UQCRQ	-19.526	0.550
ENSG00000160124	CCDC58	-5.901	0.550
ENSG00000091140	DLD	-22.787	0.550
ENSG00000185515	BRCC3	-6.554	0.549
ENSG00000148175	STOM	-21.053	0.549
ENSG00000243547	HNRNPKP4	-1.901	0.547
ENSG00000198146	ZNF770	-13.166	0.547
ENSG00000126822	PLEKHG3	-16.066	0.545
ENSG00000108826	MRPL27	-20.361	0.545
ENSG00000158882	TOMM40L	-14.195	0.544
ENSG00000156970	BUB1B	-6.893	0.543
ENSG00000103591	AAGAB	-15.564	0.543
ENSG00000108443	RPS6KB1	-11.965	0.542
ENSG00000157557	ETS2	-18.917	0.542
ENSG00000168872	DDX19A	-8.055	0.542
ENSG00000130349	C6orf203	-3.404	0.542
ENSG00000117054	ACADM	-16.751	0.541
ENSG00000159658	EFCAB14	-21.898	0.541
ENSG00000181458	TMEM45A	-7.168	0.540
ENSG00000169764	UGP2	-19.269	0.538
ENSG00000235508	RPS2P7	-2.199	0.538
ENSG00000182325	FBXL6	-12.521	0.538
ENSG00000174720	LARP7	-10.393	0.536
ENSG00000166741	NNMT	-19.730	0.536
ENSG00000232472	EEF1B2P3	-14.556	0.535
ENSG00000146109	ABT1	-16.028	0.535
ENSG00000005022	SLC25A5	-20.604	0.534
ENSG00000205138	SDHAF1	-6.860	0.533
ENSG00000121897	LIAS	-5.767	0.533
ENSG00000171346	KRT15	-11.579	0.533
ENSG00000265241	RBM8A	-23.495	0.533
ENSG00000124787	RPP40	-3.962	0.532
ENSG00000167113	COQ4	-9.130	0.530
ENSG00000111011	RSRC2	-15.102	0.530
ENSG00000155957	TMBIM4	-5.901	0.530
ENSG00000226976	COX6A1P2	-4.437	0.529
ENSG00000100938	GMPR2	-16.366	0.529
ENSG00000242299	RP11-234A1.1	-15.848	0.529
ENSG00000152700	SAR1B	-15.221	0.528
ENSG00000063660	GPC1	-11.802	0.526
ENSG00000120694	HSPH1	-15.254	0.525
ENSG00000143878	RHOB	-12.193	0.525
ENSG00000067533	RRP15	-16.747	0.525
ENSG00000119333	WDR34	-12.414	0.524
ENSG00000166938	DIS3L	-11.774	0.524
ENSG00000105220	GPI	-23.837	0.523
ENSG00000137038	TMEM261	-10.991	0.523
ENSG00000122952	ZWINT	-6.292	0.522
ENSG00000259494	MRPL46	-5.881	0.521
ENSG00000144381	HSPD1	-23.282	0.521
ENSG00000134440	NARS	-18.621	0.519
ENSG00000060339	CCAR1	-23.048	0.519
ENSG00000166411	IDH3A	-16.829	0.518
ENSG00000165156	ZHX1	-14.364	0.518
ENSG00000226964	RHEBP2	-2.207	0.517
ENSG00000007923	DNAJC11	-16.164	0.517
ENSG00000151304	SRFBP1	-6.321	0.517
ENSG00000141026	MED9	-6.845	0.513
ENSG00000148671	ADIRF	-16.870	0.513
ENSG00000100644	HIF1A	-17.736	0.512
ENSG00000050748	MAPK9	-16.711	0.511
ENSG00000275400	RP4-756H11.5	-2.152	0.510
ENSG00000231500	RPS18	-14.636	0.510
ENSG00000168003	SLC3A2	-20.261	0.510
ENSG00000093144	ECHDC1	-15.490	0.510
ENSG00000143621	ILF2	-23.619	0.509
ENSG00000104299	INTS9	-11.609	0.507
ENSG00000172366	MCRIP2	-12.561	0.507
ENSG00000005194	CIAPIN1	-13.195	0.507
ENSG00000150403	TMCO3	-21.326	0.506
ENSG00000135698	MPHOSPH6	-8.705	0.506
ENSG00000266472	MRPS21	-15.078	0.505
ENSG00000188313	PLSCR1	-6.801	0.505
ENSG00000114942	EEF1B2	-15.333	0.505
ENSG00000204310	AGPAT1	-16.813	0.504
ENSG00000006607	FARP2	-13.464	0.503
ENSG00000119669	IRF2BPL	-6.553	0.503
ENSG00000107036	RIC1	-8.435	0.503
ENSG00000165644	COMTD1	-2.458	0.502
ENSG00000223572	CKMT1A	-4.349	0.501
ENSG00000130312	MRPL34	-9.493	0.501
ENSG00000204427	ABHD16A	-1.670	0.501
ENSG00000176974	SHMT1	-7.563	0.500
ENSG00000100714	MTHFD1	-17.304	0.500
ENSG00000118600	TMEM5	-7.755	0.499
ENSG00000132780	NASP	-18.923	0.498
ENSG00000168297	PXK	-5.405	0.497
ENSG00000099204	ABLIM1	-13.878	0.497
ENSG00000025796	SEC63	-20.456	0.496
ENSG00000112983	BRD8	-12.498	0.496
ENSG00000163781	TOPBP1	-15.479	0.496
ENSG00000115657	ABCB6	-2.483	0.495
ENSG00000014641	MDH1	-20.524	0.495
ENSG00000269893	SNHG8	-18.425	0.494
ENSG00000229994	RPL5P4	-2.072	0.494
ENSG00000180776	ZDHHC20	-12.562	0.494
ENSG00000075426	FOSL2	-9.242	0.494
ENSG00000182446	NPLOC4	-16.875	0.493
ENSG00000136522	MRPL47	-11.052	0.491
ENSG00000187954	CYHR1	-13.628	0.490
ENSG00000198755	RPL10A	-14.359	0.489
ENSG00000128626	MRPS12	-17.884	0.489
ENSG00000198763	MT-ND2	-10.669	0.487
ENSG00000188375	H3F3C	-2.753	0.484
ENSG00000124198	ARFGEF2	-10.819	0.483
ENSG00000086061	DNAJA1	-20.494	0.483
ENSG00000270647	TAF15	-17.730	0.483
ENSG00000236992	RPL12P12	-1.614	0.482
ENSG00000178537	SLC25A20	-6.080	0.482
ENSG00000174021	GNG5	-13.151	0.482
ENSG00000167969	ECI1	-10.981	0.481
ENSG00000173692	PSMD1	-15.309	0.481
ENSG00000160818	GPATCH4	-17.642	0.480
ENSG00000136381	IREB2	-9.186	0.480
ENSG00000159377	PSMB4	-19.207	0.480
ENSG00000106588	PSMA2	-4.255	0.479
ENSG00000122378	FAM213A	-19.791	0.479
ENSG00000115415	STAT1	-11.737	0.478
ENSG00000132313	MRPL35	-10.141	0.478
ENSG00000164347	GFM2	-6.921	0.477
ENSG00000169021	UQCRFS1	-15.681	0.476
ENSG00000145354	CISD2	-5.642	0.475
ENSG00000137575	SDCBP	-16.407	0.475
ENSG00000119707	RBM25	-18.995	0.475
ENSG00000100650	SRSF5	-16.751	0.475
ENSG00000165474	GJB2	-5.415	0.473
ENSG00000099977	DDT	-9.212	0.473
ENSG00000164305	CASP3	-10.095	0.472
ENSG00000132640	BTBD3	-11.360	0.472
ENSG00000162231	NXF1	-12.721	0.472
ENSG00000274265	CH17-189H20.1	-2.992	0.472
ENSG00000129071	MBD4	-6.555	0.472
ENSG00000183605	SFXN4	-9.598	0.471
ENSG00000116001	TIA1	-9.764	0.471
ENSG00000234797	RPS3AP6	-5.460	0.471
ENSG00000106591	MRPL32	-13.292	0.471
ENSG00000169299	PGM2	-19.883	0.470
ENSG00000240509	RPL34P18	-3.963	0.470
ENSG00000170144	HNRNPA3	-18.321	0.469
ENSG00000178719	GRINA	-17.290	0.469
ENSG00000183513	COA5	-4.097	0.469
ENSG00000110955	ATP5B	-19.924	0.468
ENSG00000100941	PNN	-15.039	0.467
ENSG00000183421	RIPK4	-14.156	0.467
ENSG00000161671	EMC10	-11.025	0.467
ENSG00000213757	CTC-451P13.1	-1.547	0.467
ENSG00000130766	SESN2	-8.312	0.466
ENSG00000215021	PHB2	-13.957	0.466
ENSG00000137210	TMEM14B	-7.674	0.466
ENSG00000172172	MRPL13	-16.054	0.466
ENSG00000128708	HAT1	-7.094	0.466
ENSG00000229117	RPL41	-8.533	0.465
ENSG00000198899	MT-ATP6	-10.943	0.465
ENSG00000253683	CTB-79E8.3	-1.781	0.464
ENSG00000259781	RP11-673C5.1	-4.756	0.464
ENSG00000117528	ABCD3	-10.105	0.463
ENSG00000138326	RPS24	-12.633	0.463
ENSG00000115539	PDCL3	-8.331	0.463
ENSG00000114573	ATP6V1A	-10.502	0.463
ENSG00000128973	CLN6	-7.312	0.462
ENSG00000100852	ARHGAP5	-13.710	0.462
ENSG00000247556	OIP5-AS1	-16.742	0.462
ENSG00000100908	EMC9	-3.203	0.462
ENSG00000131187	F12	-7.069	0.461
ENSG00000041802	LSG1	-9.221	0.461
ENSG00000075643	MOCOS	-9.496	0.460
ENSG00000113558	SKP1	-18.414	0.460
ENSG00000236801	RPL24P8	-2.570	0.459
ENSG00000157514	TSC22D3	-16.368	0.459
ENSG00000111684	LPCAT3	-10.206	0.458
ENSG00000100997	ABHD12	-8.274	0.457
ENSG00000138668	HNRNPD	-15.048	0.456
ENSG00000150593	PDCD4	-15.870	0.456
ENSG00000103051	COG4	-12.940	0.456
ENSG00000100216	TOMM22	-16.823	0.456
ENSG00000105447	GRWD1	-17.687	0.455
ENSG00000136243	NUPL2	-7.684	0.455
ENSG00000095485	CWF19L1	-7.144	0.455
ENSG00000272325	NUDT3	-9.889	0.454
ENSG00000169220	RGS14	-4.379	0.454
ENSG00000225630	MTND2P28	-11.529	0.452
ENSG00000147471	PROSC	-9.038	0.452
ENSG00000172315	TP53RK	-10.332	0.451
ENSG00000178449	COX14	-6.135	0.451
ENSG00000213339	QTRT1	-12.995	0.451
ENSG00000104320	NBN	-13.393	0.450
ENSG00000184575	XPOT	-10.410	0.450
ENSG00000144357	UBR3	-9.194	0.450
ENSG00000085760	MTIF2	-10.747	0.450
ENSG00000180900	SCRIB	-9.478	0.450
ENSG00000224837	GCSHP5	-1.795	0.450
ENSG00000164898	FMC1	-2.227	0.449
ENSG00000110172	CHORDC1	-6.869	0.448
ENSG00000226360	RPL10AP6	-4.431	0.448
ENSG00000197217	ENTPD4	-9.433	0.447
ENSG00000073060	SCARB1	-13.953	0.447
ENSG00000136450	SRSF1	-17.079	0.447
ENSG00000160685	ZBTB7B	-13.782	0.447
ENSG00000114491	UMPS	-11.959	0.447
ENSG00000164967	RPP25L	-7.707	0.447
ENSG00000103257	SLC7A5	-10.317	0.446
ENSG00000142684	ZNF593	-8.403	0.446
ENSG00000160688	FLAD1	-14.900	0.445
ENSG00000197771	MCMBP	-12.578	0.444
ENSG00000160271	RALGDS	-5.810	0.444
ENSG00000196363	WDR5	-13.968	0.444
ENSG00000241343	RPL36A	-11.595	0.444
ENSG00000113328	CCNG1	-11.065	0.443
ENSG00000120256	LRP11	-9.087	0.442
ENSG00000143162	CREG1	-14.406	0.442
ENSG00000145425	RPS3A	-11.094	0.442
ENSG00000107738	C10orf54	-5.782	0.442
ENSG00000103018	CYB5B	-15.134	0.441
ENSG00000204388	HSPA1B	-7.207	0.440
ENSG00000265190	ANXA8	-15.183	0.439
ENSG00000137955	RABGGTB	-15.461	0.439
ENSG00000139343	SNRPF	-10.732	0.438
ENSG00000006652	IFRD1	-11.026	0.438
ENSG00000119280	C1orf198	-7.816	0.437
ENSG00000035687	ADSS	-13.801	0.437
